Message,ID,ID Decimal,Periodic Interval,Update Time,Event Trigger,Signal,Start Byte,Start Bit,Length,Data Type,Range,Min,Max,Unit,Conversion,Scale,Offset,Transmitter
,,,,,,Accelerator Actual Position Validity,3,7,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Cruise Control Active,3,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Cruise Control Enabled,3,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Driver Throttle Override Detected,3,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Driver Throttle Override Detection Alive Rolling Count,3,3,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Driver Throttle Override Detected Protection Value,3,1,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Accelerator Actual Position,4,7,8,Unsigned Numeric,0 to 100,0,100,%,E = N * 100/255,100/255,,
,,,,,,Platform Engine Speed Command Superceded,5,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Platform Engine Speed Command Inhibit Request,5,4,1,Enumeration,N/A,,,,"$0 = Allow Platform Engine Speed Control
$1 = Inhibit Platform Eng. Speed Control",,,
,,,,,,Engine Cylinder Deactivation Mode,5,3,2,Enumeration,N/A,,,,"$0 = All Cylinders Active
$1 = Deactivation In Progress
$2 = Half of Total Cylinders Active
$3 = Reactivation In Progress",,,
,,,,,,Powertrain Brake Pedal Discrete Input Status Validity,5,1,1,Enumeration,N/A,,,,"$0 = Valid
$1 = Invalid",,,
,,,,,,Powertrain Brake Pedal Discrete Input Status,5,0,1,Enumeration,N/A,,,,"$0 = Brake Not Applied
$1 = Brake Applied",,,
,,,,,,Remote Vehicle Start Engine Running,6,7,1,Boolean,N/A,,,,"$0 = False
$1 = True",,,
,,,,,,Engine Cylinder Deactivation Event Pending,6,6,1,Boolean,N/A,,,,"$0 = False
$1 = True",,,
,,,,,,Engine Intake Air Boost Pressure Validity,6,3,1,Enumeration,N/A,,,,"$0 = Valid
$1 = Invalid",,,
,,,,,,Engine Intake Air Boost Pressure,7,7,8,Signed Numeric,-128 to 127,-128,127,kPa(g),E = N * 1,1,,
,,,,,,,,,,,,,,,,,,
PPEI Brake Apply Status,$0F1,241,10,,,,,,,,,,,,,,,BSM
,,,,,,Brake Pedal Moderate Travel Achieved Validity,0,7,1,Enumeration,N/A,,,,"$0 = Valid
$1 = Invalid",,,
,,,,,,Brake Pedal Moderate Travel Achieved,0,6,1,Boolean,N/A,,,,"$0 = False
$1 = True",,,
,,,,,,Brake Pedal Position Alive Rolling Count,0,5,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Brake Pedal Initial Travel Achieved Protection,0,3,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,,,,,,,,,,,,,
,,,,,,Brake Pedal Initial Travel Achieved Status,0,1,2,Packet,N/A,,,,N/A,,,
,,,,,,Brake Pedal Initial Travel Achieved,0,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Brake Pedal Initial Travel Achieved Validity,0,0,1,Enumeration,N/A,,,,"$0 = Valid
$1 = Invalid",,,
,,,,,,Brake Pedal Position,1,7,8,Unsigned Numeric,0 to 100,0,100,%,E = N * 100/255,100/255,,
,,,,,,Brake Pedal Position Gradient,2,7,8,,,,,,"$0 = False;
$1 = True",,,
,,,,,,Brake Lights Active,3,7,1,Boolean,,,,,,,,
,,,,,,Brake Apply Sensor Home Position Learned,3,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,,,,,,,,,,,,,
PPEI Transmission General Status 1,$0F9,249,12.5,,,,,,,,,,,,,,,"TCM, ECM"
,,,,,,Transmission Overall Estimated Torque Ratio Validity,0,7,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Transmission Overall Estimated Torque Ratio,0,6,15,Signed Numeric,-64.0 to 63.99609375,-64.0,63.99609375,,E = N * 1/256,1/256,,
,,,,,,Transmission Output Shaft Angular Velocity Validity,2,7,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Transmission Output Shaft Angular Velocity Sensor Present,2,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Transmission Output Rotations Rolling Count Reset Occurred,2,5,1,Boolean,,,,,"$0 = False;
$1 = True",,,
,,,,,,Transmission Output Rotations Rolling Count Validity,2,4,1,Boolean,,,,,"$0 = False;
$1 = True",,,
,,,,,,,2,3,1,,,,,,,,,
,,,,,,,2,2,1,,,,,,,,,
,,,,,,,2,1,1,,,,,,,,,
,,,,,,,2,0,1,,,,,,,,,
,,,,,,Transmission Output Rotations Rolling Count,5,7,16,,,,,,,,,
,,,,,,Transmission Cruise Control Vehicle Speed Shift Event Threshold,7,7,8,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PPEI Vehicle Odometer,$120,288,,,,,,,,,,,,,,,,
,,,,,,Vehicle Odometer,0,7,32,,,,,,,,,
,,,,,,Vehicle Odometer Validity,4,0,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PPEI Antilock Brake And TC Status,$17D,381,100,,,,,,,,,,,,,,,EBCM
,,,,,,Traction Control System Operating Mode,0,4,3,Enumeration,N/A,,,,"$0 = Off
$1 = Normal
$2 = Off Road",,,EBCM
,,,,,,Vehicle Stability Enhancement Mode,6,2,3,Enumeration,N/A,,,,"$0 = Off
$1 = Normal
$2 = Competitive",,,
,,,,,,,,,,,,,,,,,,
PPEI Engine Torque Status 2,$1C3,451,25,,,,,,,,,,,,,,,ECM
,,,,,,Engine Torque Reduction Failure Status,0,7,3,Enumeration,N/A,,,,"$0 = Torque Reduction OK
$1 = Torque Reduction Temporarily Failed
$2 = Torque Reduction Permanently Failed
$3 = Torque Reduction Limited
$4 = Torque Reduction Communication Failed",,,
,,,,,,Engine Torque Actual Extended Range Validity,0,4,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Engine Torque Actual Extended Range,0,3,12,Unsigned Numeric,-848.0 to 1199.5,-848.0,1199.5,Nm,E = (N * 0.50) - 848,1/2,-848,
,,,,,,,2,7,1,,,,,,,,,
,,,,,,Powertrain Regulated Generator Control Active,2,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Accelerator Effective Position Validity,2,5,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Engine Torque Driver Requested Extended Range Validity,2,4,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Engine Torque Driver Requested Extended Range,2,3,12,Unsigned Numeric,-848.0 to 1199.5,-848.0,1199.5,Nm,E = (N * 0.50) - 848,1/2,-848,
,,,,,,Fuel Filter Remaining Life,4,7,8,Unsigned Numeric,0 to 100,0,100,%,E = N * 100/255,100/255,,
,,,,,,Generator Current Validity,5,7,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Generator Current,5,6,7,Unsigned Numeric,0 to 127,0,127,A,E = N * 1,1,,
,,,,,,Accelerator Effective Position,6,7,8,Unsigned Numeric,0 to 100,0,100,%,E = N * 100/255,100/255,,
,,,,,,Engine Driver Preference Mode Switch 1 Enabled,7,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Driver Preference Mode Switch 1 Status,7,6,1,Enumeration,N/A,,,,"$0 = Inactive;
$1 = Active",,,
,,,,,,Economy Mode Active Indication On,7,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Economy Mode Request Denied Indication On,7,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,,,,,,,,,,,,,
PPEI Torque Request Status,$1C4,452,25,,,,,,,,,,,,,,,ECM
,,,,,,,0,7,1,,,,,,,,,
,,,,,,,0,6,1,,,,,,,,,
,,,,,,,0,5,1,,,,,,,,,
,,,,,,Accelerator Pedal Override Active,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Accelerator Pedal Override Active Alive Rolling Count,0,3,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Accelerator Pedal Override Active Protection Value,0,1,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,,,,,,,,,,,,,
,,,,,,Adaptive Cruise Control Axle Torque Command Status,1,7,5,Packet,,,,,,,,
,,,,,,Adaptive Cruise Control Axle Torque Command Request Status,1,7,3,Enumeration,N/A,,,,"$0 = No Request
$1 = Request Honored
$2 = Lost Arbitration
$3 = Request Denied
$4 = Request Suspended Until Driver Input
$5 = Unused
$6 = Unused
$7 = Unused",,,
